subject,date,water_amount
6867,4-10-2018,1.01
6869,4-10-2018,1
ZM_209,4-10-2018,0.33
6872,4-10-2018,0.97
ZM_342,4-10-2018,0.37
ZM_202,4-10-2018,1.41
ZM_337,4-10-2018,1.2
ZM_206,4-10-2018,1.12
ZM_208,4-10-2018,1.47
ZM_203,4-10-2018,1.02
ZM_210,4-10-2018,1.14
ZM_338,4-10-2018,0.86
6870,4-10-2018,1.2
ZM_205,4-10-2018,0.17
ZM_335,4-10-2018,0.12
6873,4-10-2018,0.1
ZM_200,4-10-2018,0.07
6867,10-10-2018,0.79
6869,10-10-2018,0.97
ZM_209,10-10-2018,0.56
6872,10-10-2018,0.98
ZM_342,10-10-2018,0.58
ZM_202,10-10-2018,1.53
ZM_337,10-10-2018,1.03
ZM_206,10-10-2018,0.98
ZM_208,10-10-2018,0.89
ZM_203,10-10-2018,1.18
ZM_210,10-10-2018,0.99
ZM_338,10-10-2018,1.09
6870,10-10-2018,0.62
ZM_205,10-10-2018,0.11
ZM_335,10-10-2018,0.07
6873,10-10-2018,0.12
ZM_200,10-10-2018,0.11
6867,18-10-2018,0.9
6869,18-10-2018,1.06
ZM_209,18-10-2018,0.63
6872,18-10-2018,0.77
ZM_342,18-10-2018,0.74
ZM_202,18-10-2018,1.36
ZM_337,18-10-2018,0.89
ZM_206,18-10-2018,1.13
ZM_208,18-10-2018,0.98
ZM_203,18-10-2018,1.03
ZM_210,18-10-2018,1.06
ZM_338,18-10-2018,1.14
6870,18-10-2018,0.57
ZM_205,18-10-2018,0.1
ZM_335,18-10-2018,0.1
6873,18-10-2018,0.19
ZM_200,18-10-2018,0.39
6867,23-10-2018,0.98
6869,23-10-2018,0.93
ZM_209,23-10-2018,0.56
6872,23-10-2018,0.8
ZM_342,23-10-2018,0.68
ZM_202,23-10-2018,1.33
ZM_337,23-10-2018,1
ZM_206,23-10-2018,1.17
ZM_208,23-10-2018,0.84
ZM_203,23-10-2018,0.79
ZM_210,23-10-2018,1.08
ZM_338,23-10-2018,1.01
6870,23-10-2018,0.58
ZM_205,23-10-2018,0.09
ZM_335,23-10-2018,0.08
6873,23-10-2018,0.07
ZM_200,23-10-2018,0.04
