,id,probe_insertion,x,y,z,depth,theta,phi,roll,provenance,probe_name,coordinate_system,datetime,json,subject,start_time,number,lab,task_protocol
668,e4d6e810-fa65-4351-b209-8b4aa3a43837,ce136770-5f79-4f4c-bc2c-2c49fa27b415,-2835.0,-4100.0,-1000.0,3500.0,10.0,180.0,0.0,Planned,probe_00,,2020-06-09T07:59:14.315700,,CSHL021,2019-10-01T15:03:32,1.0,churchlandlab,_iblrig_tasks_ephys_certification6.0.2
153,e4d6e810-fa65-4351-b209-8b4aa3a43837,6a288481-1bb1-4c0c-838f-0da1357277d4,2835.0,-4000.0,0.0,3000.0,15.0,0.0,0.0,Micro-manipulator,probe_01,Needles-Allen,2020-06-09T07:59:14.315700,,CSHL021,2019-10-01T15:03:32,1.0,churchlandlab,_iblrig_tasks_ephys_certification6.0.2
203,e4d6e810-fa65-4351-b209-8b4aa3a43837,ce136770-5f79-4f4c-bc2c-2c49fa27b415,-2834.2,-3800.0,-2184.0,3000.0,15.0,180.0,0.0,Micro-manipulator,probe_00,Needles-Allen,2020-06-09T07:59:14.315700,,CSHL021,2019-10-01T15:03:32,1.0,churchlandlab,_iblrig_tasks_ephys_certification6.0.2
669,e4d6e810-fa65-4351-b209-8b4aa3a43837,6a288481-1bb1-4c0c-838f-0da1357277d4,2835.0,-4100.0,-1000.0,3500.0,10.0,0.0,0.0,Planned,probe_01,,2020-06-09T07:59:14.315700,,CSHL021,2019-10-01T15:03:32,1.0,churchlandlab,_iblrig_tasks_ephys_certification6.0.2
644,ac935c7e-0de7-42d7-b751-a29d7de74fe0,03138811-7e7c-4891-a0ea-55f8fca90751,3150.0,-3800.0,-500.0,3500.0,10.0,0.0,0.0,Planned,probe01,,2020-06-09T07:59:14.315700,,CSHL028,2019-12-18T11:19:52,4.0,churchlandlab,_iblrig_tasks_ephys_certification6.3.1
645,ac935c7e-0de7-42d7-b751-a29d7de74fe0,9018448d-8aa3-4167-8e5f-133bb4b98312,-3150.0,-3800.0,-500.0,3500.0,10.0,180.0,0.0,Planned,probe00,,2020-06-09T07:59:14.315700,,CSHL028,2019-12-18T11:19:52,4.0,churchlandlab,_iblrig_tasks_ephys_certification6.3.1
646,98f0962a-c56f-4b0f-9b51-e9884eca9161,e713ee9a-f58c-4f25-88a4-108d4cc7bdd6,-3135.0,-4100.0,-500.0,3500.0,10.0,180.0,0.0,Planned,probe00,,2020-06-09T07:59:14.315700,,CSHL028,2019-12-17T16:36:06,3.0,churchlandlab,_iblrig_tasks_ephys_certification6.3.1
647,98f0962a-c56f-4b0f-9b51-e9884eca9161,caf787a6-c6df-49ed-a0c1-d3639f979d30,2835.0,-4100.0,-500.0,3500.0,10.0,0.0,0.0,Planned,probe01,,2020-06-09T07:59:14.315700,,CSHL028,2019-12-17T16:36:06,3.0,churchlandlab,_iblrig_tasks_ephys_certification6.3.1
648,0c1e2e5c-8d4a-4b68-b37e-e9a862983747,d4f59b9b-4a1d-4a79-bf7c-c8d17a901cdb,-3150.0,-4100.0,-500.0,3500.0,10.0,180.0,0.0,Planned,probe00,,2020-06-09T07:59:14.315700,,CSHL028,2019-12-16T18:06:29,1.0,churchlandlab,_iblrig_tasks_ephys_certification6.3.1
649,0c1e2e5c-8d4a-4b68-b37e-e9a862983747,478e87a1-96e8-4c99-a119-5a6f6d804863,3150.0,-3800.0,-500.0,3500.0,10.0,0.0,0.0,Planned,probe01,,2020-06-09T07:59:14.315700,,CSHL028,2019-12-16T18:06:29,1.0,churchlandlab,_iblrig_tasks_ephys_certification6.3.1
114,98f0962a-c56f-4b0f-9b51-e9884eca9161,e713ee9a-f58c-4f25-88a4-108d4cc7bdd6,-3023.7,-4301.7,-1233.9,3499.8,10.0,180.0,0.0,Micro-manipulator,probe00,Needles-Allen,2020-06-09T07:59:14.315700,,CSHL028,2019-12-17T16:36:06,3.0,churchlandlab,_iblrig_tasks_ephys_certification6.3.1
220,ac935c7e-0de7-42d7-b751-a29d7de74fe0,9018448d-8aa3-4167-8e5f-133bb4b98312,-3136.2,-3797.0,-843.0,3500.4,10.0,180.0,0.0,Micro-manipulator,probe00,Needles-Allen,2020-06-09T07:59:14.315700,,CSHL028,2019-12-18T11:19:52,4.0,churchlandlab,_iblrig_tasks_ephys_certification6.3.1
221,ac935c7e-0de7-42d7-b751-a29d7de74fe0,03138811-7e7c-4891-a0ea-55f8fca90751,2971.2,-3809.5,-789.1,3499.9,10.0,0.0,0.0,Micro-manipulator,probe01,Needles-Allen,2020-06-09T07:59:14.315700,,CSHL028,2019-12-18T11:19:52,4.0,churchlandlab,_iblrig_tasks_ephys_certification6.3.1
