,subject_nickname,session_start_time,Histology track,Micro-manipulator,Planned
0,CSHL045,2020-02-24 14:41:02,,30.0,10.0
1,CSHL045,2020-02-25 09:53:24,,30.0,10.0
2,CSHL045,2020-02-26 14:48:55,,30.0,10.0
3,CSHL045,2020-02-27 15:12:57,,30.0,10.0
4,CSHL047,2020-01-20 14:56:51,,30.0,10.0
5,CSHL047,2020-01-21 13:52:24,,,10.0
6,CSHL047,2020-01-22 08:28:49,,,10.0
7,CSHL047,2020-01-27 15:48:55,,,10.0
8,CSHL047,2020-01-28 13:57:03,,,10.0
9,CSHL049,2020-01-08 15:52:42,,30.0,10.0
10,CSHL049,2020-01-09 15:43:58,,30.0,
11,CSHL049,2020-01-10 14:11:34,,30.0,10.0
12,CSHL049,2020-01-11 13:42:47,,30.0,10.0
13,CSHL049,2020-01-12 16:02:30,,30.0,
14,CSHL049,2020-01-13 14:29:32,,30.0,10.0
15,CSHL051,2020-02-05 14:12:27,,,10.0
16,CSHL051,2020-02-06 13:31:36,,,10.0
17,CSHL051,2020-02-07 09:57:28,,,10.0
18,CSHL051,2020-02-10 14:36:16,,,10.0
19,CSHL052,2020-02-17 17:20:40,,,10.0
20,CSHL052,2020-02-18 14:24:19,,30.0,
21,CSHL052,2020-02-19 15:33:58,,,10.0
22,CSHL052,2020-02-20 13:15:02,,,10.0
23,CSHL052,2020-02-21 13:24:45,,,10.0
24,CSHL053,2020-01-29 16:19:34,,30.0,
25,CSHL053,2020-01-30 13:24:09,,30.0,10.0
26,CSHL053,2020-01-31 13:43:19,,30.0,10.0
27,CSHL053,2020-02-03 13:49:31,,30.0,10.0
28,CSHL054,2020-02-11 14:25:12,,30.0,
29,CSHL054,2020-02-12 15:29:10,,30.0,10.0
30,CSHL055,2020-02-17 14:07:14,,,10.0
31,CSHL059,2020-03-02 14:30:05,,30.0,10.0
32,CSHL059,2020-03-03 14:27:51,,30.0,10.0
33,CSHL059,2020-03-04 10:31:07,,30.0,10.0
34,CSHL059,2020-03-05 16:18:21,,30.0,10.0
35,CSHL059,2020-03-08 18:38:55,,30.0,10.0
36,CSHL060,2020-03-13 11:47:01,,30.0,10.0
37,CSHL060,2020-03-14 13:07:02,,30.0,10.0
38,CSHL060,2020-03-15 11:51:27,,30.0,10.0
39,CSHL_015,2019-11-11 14:26:45,,30.0,
40,CSHL_018,2020-03-16 13:19:01,,30.0,10.0
41,CSHL_019,2020-03-12 15:02:22,,30.0,10.0
42,CSHL_019,2020-03-13 15:31:51,,30.0,10.0
43,CSHL_019,2020-03-14 16:06:12,,30.0,10.0
44,CSHL_020,2019-12-04 17:38:12,,30.0,
45,CSH_ZAD_001,2020-01-13 18:02:51,,30.0,
46,CSH_ZAD_001,2020-01-14 14:55:21,,30.0,
47,CSH_ZAD_001,2020-01-15 15:16:26,,30.0,
48,CSH_ZAD_001,2020-01-16 15:53:22,,30.0,
49,CSK-scan-008,2019-12-11 11:35:51,,30.0,
50,CSP004,2019-11-26 12:00:15,,30.0,
51,CSP004,2019-11-27 12:27:51,,30.0,
52,CSP004,2019-11-27 15:27:08,,30.0,
53,DY_006,2020-01-17 14:10:03,,,10.0
54,DY_010,2020-01-21 14:40:18,,30.0,10.0
55,DY_010,2020-01-22 14:18:05,,30.0,10.0
56,DY_010,2020-01-23 14:35:50,,30.0,10.0
57,DY_010,2020-01-24 14:20:25,,30.0,10.0
58,DY_010,2020-01-26 12:16:45,,30.0,10.0
59,DY_010,2020-01-27 11:15:18,,30.0,10.0
60,DY_010,2020-01-28 11:34:01,,30.0,10.0
61,DY_010,2020-01-29 14:24:50,,30.0,10.0
